Coastal LGAs,2016 Population,2021 Actual Population,2023 Projected Population,2011 average weekly income,2021 average weekly income,SEIFA
Ballina,42993,46296,46339.25746,930,1008.387482,996.75
Bega Valley,33941,35942,34948.46885,848,872.5903043,967
Bellingen,12951,13253,13174.66835,787,845.3159346,971.25
Byron,33399,36116,36558.45632,885,1075.237381,1012
Central Coast,336611,346596,351527.409,1003,1006.76952,983.75
Clarence Valley,51622,54115,52046.781,768,806.9087085,926.25
Coffs Harbour,74670,78759,78642.78236,902,921.1966754,963.75
Eurobodalla,37919,40593,39851.88636,784,850.5223002,955
Kempsey,29431,30688,30089.0795,748,768.9765996,897.75
Kiama,22110,23074,24433.59364,1234,1169.77017,1060
Lake Macquarie,202332,213845,212115.9086,1265,1035.107681,986.75
Mid-Coast,91801,96579,96464.69755,729,800.9990967,928.25
Mosman,30260,28329,30792.69322,2465,2073.958235,1136
Nambucca Valley,19580,20407,19880.97203,700,751.0808633,915
Newcastle,160707,168873,168583.8314,1165,1147.95678,994.5
Northern Beaches,265468,263554,274296.5634,1812,1574.991952,1104.25
Port Macquarie-Hastings,80073,86762,87813.75111,837,901.0798133,971
Port Stephens,71115,75276,76926.92786,999,933.762966,969.75
Randwick,148922,134252,152885.1331,1577,1516.127917,1062.75
Richmond Valley,23256,23565,23731.19681,898,791.9260123,903
Shellharbour,70391,76271,78031.54917,1126,976.4844233,966.25
Shoalhaven,101942,108531,111576.0117,1517,893.5968738,960
Sutherland,226461,230211,234728.7927,1674,1342.81757,1079.5
Tweed,93742,97392,100329.8516,845,912.1841494,968.25
Waverley,72013,68605,71411.60625,1912,1914.064401,1101.5
Woollahra,57744,53496,58216.63303,2398,2163.432318,1131.75
Wollongong,210394,214564,222603.5948,1101,1063.874557,990
Canada Bay,92534,89177,98012.33708,1738,1499.241243,1078.75
Bayside,156058,175184,169149.304,1826,1128.806042,1111
Jervis Bay Territory,313,313,336,966,869.4491917,944
